urn,titel,maatregel,onderwerp,levenscyclus,rollen,toelichting,risico,bijbehorende-vereisten,bronnen,url
urn:nl:ak:mtr:org-00,Inventariseer de algoritmes die binnen jouw organisatie worden gebruikt en houd dit overzicht actueel,"Inventariseer de algoritmes die binnen jouw organisatie worden gebruikt en houd dit overzicht actueel. 
  ","['governance', 'transparantie']","['organisatieverantwoordelijkheden', 'monitoring-en-beheer']",['beleid-en-advies'],"Om grip te krijgen op het gebruik van algoritmes binnen jouw organisatie, heb je allereest overzicht nodig van de algoritmes die in jouw organisatie gebruikt worden. Zorg dat je dit overzicht regelmatig actualiseert. 
Bepaal voor ieder algoritme de [risicogroep en vervolgens welke vereisten daarop van toepassing zijn](2-owp-05-soort-algoritme.md). Hiervoor kan je gebruik maken van de [beslishulp AI-verordening](https://ai-verordening-beslishulp.apps.digilab.network/). 

Bepaal ook of er sprake is van [geautomatiseerde besluitvorming of geautomatiseerde risicoselectie](../vereisten/avg-10-recht-op-niet-geautomatiseerde-besluitvorming.md). 

Inventariseren van de algoritmes die gebruikt worden, helpt bij:

- Inzicht in de risico's en kansen van het gebruik van algoritmes. 
- [Het correct registreren van de algoritmes in het Algoritmeregister](6-imp-04-publiceren-algoritmeregister.md)
- Het opzetten van een goede [algoritmegovernance](../../onderwerpen/governance.md). 
",,"['urn:nl:ak:ver:aia-00', 'urn:nl:ak:ver:aia-02', 'urn:nl:ak:ver:aia-03', 'urn:nl:ak:ver:bzk-01', 'urn:nl:ak:ver:avg-10']",,https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-00-inventariseren-algoritmes/index.html
urn:nl:ak:mtr:org-01,Bepaal of er genoeg experts beschikbaar zijn,"
Bepaal welke expertise en capaciteit noodzakelijk is voor het ontwikkelen, inkopen en gebruiken van algoritmes en stel vast of er voldoende expertise en capaciteit beschikbaar is.
  ",['governance'],['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","- Bepaal welke expertise en capaciteit binnen de organisatie noodzakelijk is voor het ontwikkelen, inkopen en gebruiken van algoritmes.
- Dit is sterk afhankelijk van de specifieke toepassing en de inzichten die voortkomen uit risicoanalyses. Hoe complexer en risicovoller de toepassing, des te meer expertise en capaciteit noodzakelijk is. 
- Indien is vastgesteld dat er onvoldoende expertise aanwezig is, investeer dan in [bewustwording en voldoende opleidingen](0-org-16-bewustwording-en-opleiding.md) over de kansen en risico's van algoritmes en AI. 
- Interne en externe actoren die betrokken zijn bij het ontwikkelen, inkopen en gebruik moeten over voldoende expertise en capaciteit beschikken om hun taken naar behoren uit te voeren.
- Stel vast of er afhankelijkheden van externe aanbieders ontstaan.  
- Bepaal voorafgaand aan het (laten) ontwikkelen of inkopen van algoritmes of voldoende expertise en capaciteit beschikbaar is om tot een verantwoorde inzet ervan te komen.
- Leg vast of er voldoende expertise en capaciteit beschikbaar is en onderbouw dit in projectdocumentatie.
- Om menselijke controle te kunnen uitoefenen in verschillende fases van de ontwikkeling (of inkoop) van algortimes moet de mens bepaalde kennis, tijd en vaardigheden hebben. Alleen met de juiste kennis, tijd en vaardigheden kunnen risico’s op tijd geïdentificeerd en afgedekt worden. Deze kennis en expertise kan ook buiten de organisatie liggen, maar dan is het belangrijk om verantwoordelijkheden goed vast te leggen.
","Zonder voldoende expertise en capaciteit kan het zijn dat het ontwikkelen, inkopen, en gebruiken van algoritmes niet goed verloopt binnen de organisatie doordat de middelen hiervoor ontbreken. 

","['urn:nl:ak:ver:awb-01', 'urn:nl:ak:ver:aia-21', 'urn:nl:ak:ver:aia-01']",,https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-01-benodigde-expertise-en-capaciteit/index.html
urn:nl:ak:mtr:org-02,Stel beleid op voor een verantwoorde inzet van algoritmes binnen de organisatie,"
Stel beleid op voor een verantwoorde inzet van algoritmes binnen de organisatie. 
","['governance', 'transparantie']",['organisatieverantwoordelijkheden'],['beleid-en-advies'],"Een duidelijk beleid over de inzet van algoritmes helpt organisaties te voldoen aan de vereisten voor het verantwoord gebruik ervan. Hierin worden zaken beschreven als:

- Hoe de inzet van algoritmes gaat bijdragen aan het realiseren van de organisatiedoelstellingen. 
- Het beschrijven van de stappen die moeten worden gezet om algoritmes op een verantwoorde wijze in te gaan zetten. Dit is afhankelijk en verschilt per [type algoritme en de bijbehorende risicoclassificatie](2-owp-05-soort-algoritme.md).
- Het beschrijven van welke hulpmiddelen in welke gevallen moeten worden ingezet om te voldoen aan de vereisten die gelden voor algoritmes. Hierbij kan worden gedacht aan:

    - Een [Impact Assessment Mensenrechten en Algoritmes](../hulpmiddelen/IAMA.md).
    - Een [Data Protection Impact Assessment](../hulpmiddelen/DPIA.md).
    - Het hanteren van [inkoopvoorwaarden](../hulpmiddelen/inkoopvoorwaarden.md).
    - Het uitvoeren van een [biasanalyse](5-ver-03-biasanalyse.md).
  
- Hoe burgers worden geïnformeerd over de inzet van algoritmes door de organisatie (communicatiestrategie) en welke kanalen hiervoor kunnen worden gebruikt. Hierbij kan worden gedacht aan:

    - Het [Algoritmeregister](../hulpmiddelen/algoritmeregister.md) voor het publiceren van hoog risico AI-systemen of impactvolle algoritmes. 
    - Een algemene pagina op de website met informatie over de inzet van algoritmes.
    - Het [verwerkingsregister](6-imp-07-vermelding-in-verwerkingsregister.md).
    - Een intern registratiesysteem, bijvoorbeeld voor het registreren van laag risico of niet-impactvolle algoritmes zodat deze informatie voor medewerkers beschikbaar is.
    - In welke gevallen een [(openbaar) besluit](6-imp-08-politiek-bestuurlijk-besluit.md) wordt genomen door het bestuur over de inzet van een algoritme. 

- Of algoritmes zelf worden ontwikkeld, of dat algoritmes of systemen worden [ingekocht](../../onderwerpen/publieke-inkoop.md). Dit vraagt om een andere governacnestructuur en aanpak. 

- Er is beschreven welke informatie over welke typen algoritmes wordt gecommuniceerd met betrokkenen bij de ontwikkeling of gebruik ervan door de organisatie. 
- Stel dit beleid op voor zowel:

    - nieuw te ontwikkelen algoritmes
    - gedurende de ontwikkeling van algoritmes
    - bestaande algoritmes

- Bepaal in welke gevallen het nodig is om een externe audit of validatie uit te voeren op het algoritme. 
- Bepaal of het wenselijk is om gebruik te maken van een (externe) ethische commissie en hoe dit onderdeel kan zijn van je processen. 
- Er is beschreven welke stappen worden gezetten in het geval dat er incidenten ontstaan rondom de inzet van algoritmes, denk hierbij aan een [discriminatieprotocol](0-org-15-discriminatieprotocol.md).
- Betrek een brede groep met verschillende disciplines bij de ontwikkeling van governance. 
- Dit beleidsdocument is beschikbaar en toegankelijk voor geïnteresseerden. 
","Zonder duidelijk beleid over de inzet van algoritmes kan het gebeuren dat algoritmes worden ontwikkeld of gebruikt die niet passend zijn binnen de organisatie. 
",['urn:nl:ak:ver:awb-01'],"
Geen beschikbare bron voor deze maatregel.
",https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-02-beleid-opstellen-inzet-algoritmes/index.html
urn:nl:ak:mtr:org-03,Maak een plan voor het omgaan met risico’s,"
Pas risicobeheer gestructureerd toe voorafgaand en gedurende de ontwikkeling en gebruik van algoritmes.
  ",['governance'],['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","- Bepaal tijdig, bijvoorbeeld in de ontwerpfase om [wat voor toepassing het gaat](2-owp-05-soort-algoritme.md) (algoritme of AI-systeem) en bepaal welke risicoclassificatie hierbij hoort.
- Bepaal op basis van de toepassing en de risicoclassificatie, welke aspecten van risicobeheer moeten worden toegepast.
- Inventariseer tijdig, bijvoorbeeld in de probleemanalayse- of ontwerpfase, bij betrokken experts welke beleidskaders en hulpmiddelen binnen de organisatie moeten worden ingezet om risicobeheer toe te passen.
- Bepaal op basis van de [levenscyclus van een algoritme of AI-systeem](0-org-08-beslismoment-levenscyclus.md) wanneer welke aspecten van risicobeheer moeten worden toegepast. 
- Maak inzichtelijk op welke niveaus risicobeheer kan en moet worden belegd bij het ontwikkelen en gebruiken van algoritmes.
- Daarbij gaat het om het identificeren, analyseren, evalueren (afhankelijk van de risicobereidheid), behandelen (risicoreactie, o.a. maatregelen), monitoren & beoordelen en communiceren & rapporteren van risico's.
- Gedurende de levenscyclus van een algoritme of AI-systemen kunnen nieuwe risico's ontstaan waar mogelijk nieuwe maatregelen voor moeten worden getroffen. Het is van belang dat iteratief wordt gewerkt aan mitigerende maatregelen en dat risicobeheer periodiek wordt toegepast.

Let op! Sommige maatregelen in het Algoritmekader gaan dieper in op het uitvoeren van risicoanalyses. 
   ","Risico's worden niet (tijdig) vastgesteld en adequaat geadresseerd en behandeld.  
","['urn:nl:ak:ver:aia-03', 'urn:nl:ak:ver:awb-01']",,https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-03-toepassen-risicobeheer/index.html
urn:nl:ak:mtr:org-04,"Zorg voor politiek-bestuurlijk bewustzijn, betrokkenheid, en verantwoordelijkheid","Zorg voor politiek-bestuurlijk bewustzijn, betrokkenheid en verantwoordelijkheid. 
","['governance', 'transparantie']",['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","Voor een passende algoritmegovernance is politiek-bestuurlijk bewustzijn, betrokkenheid en verantwoordelijkheid essentieel. 
Het maken van verantwoorde keuzes rond de inzet van specifieke algoritmen en AI en het vinden van balans tussen voordelen en risico's, juridische vereisten en ethische principes vraagt om een bestuurlijke afweging. Daarmee is ook het opstellen van een goede governancestructuur een bestuurlijke verantwoordelijkheid. 
Zorg ervoor dat bestuurders bewust zijn van de voor- en nadelen van de inzet van algoritmes en daarnaar kunnen handelen.
Het opstellen van een juiste governancestructuur helpt teams bij het maken van de juiste overwegingen bij de ontwikkeling en gebruik van algoritmes. Het geeft ook inzicht wanneer de politiek of bestuurlijk verantwoordelijke(n) moeten worden betrokken bij het project om beslissingen te nemen, bijvoorbeeld of de mate van onbewuste vooringenomenheid (bias) binnen acceptabele grenzen ligt. 

De kernvraag voor publieke organisaties bij de inzet van algoritmen is altijd: Hoe wegen we (als publieke organisatie of samenleving) de voordelen en nadelen van de inzet van algoritmen? 
Dit gaat niet alleen over direct opbrengsten maar ook over lange termijn en indirecte effecten, de mate waarin de inzet van technologie bijdraagt aan de legitimiteit van publieke organisatie en hoe burgers met deze technologie worden bejegend. 

Om te zorgen voor politiek-bestuurlijke betrokkenheid kan het helpen om een [meerjarige visie/strategie rondom verantwoorde inzet](0-org-02-beleid-opstellen-inzet-algoritmes.md) te formuleren waar een communicatiestrategie richting burgers onderdeel van is.
Het doorlopen van een concrete casus voor de ontwikkeling en gebruik van een algoritme, inclusief het uitvoeren van een IAMA, kan waardevolle informatiegeven om een meerjarige visie of strategie op te stellen. 

","Het verwaarlozen van politiek-bestuurlijk bewustzijn, betrokkenheid en verantwoordelijkheid kan leiden tot een het ontwikkelen van algoritmegovernance dat op de lange termijn niet effectief inzetbaar is. 
",[],"[Kleur bekennen - vervolgonderzoek algoritmes](https://rekenkamer.rotterdam.nl/onderzoeken/kleur-bekennen/)
",https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-04-politiek-bestuurlijke-verantwoordelijkheid/index.html
urn:nl:ak:mtr:org-05,Sluit algoritmegovernance aan op bestaande governancestructuren binnen de organisatie,"
Sluit algoritmegovernance aan op bestaande governancestructuren binnen de organisatie.
",['governance'],['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","Zoek bij het opstellen van een algoritmegovernance van een organisatie aansluiting en samenwerking met huidige governancestructuren. Dit kan op drie manieren: aansluiting bij bestaande governance binnen je organisatie, governance van andere sectoren en governance van andere overheidsorganisaties. 

### Aansluiting met bestaande governancestructuren binnen je eigen organisatie
Zoek aansluiting met bestaande governance binnen je organsatie, zoals:

- IT governance
- [datagovernance](../../onderwerpen/data.md#goed-databeheer-datagovernance-en-datamanagement)
- informatiebeveiliging zoals governance rondom de [NIS2 richtlijn](https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/nis2-richtlijn/)
- [privacygovernance](https://www.cip-overheid.nl/media/eeqkauey/20200814-handleiding-privacy-governance-v3_2.pdf)

Deze governancestructuren kunnen waardevolle aanknopingspunten bieden voor algoritmegovernance, omdat hierin vaak al duidelijke afspraken zijn gemaakt en processen zijn geschreven om bijvoorbeeld risico's zo goed mogelijk te managen.
In veel organisaties werken bijvoorbeeld privacy- en informatiebeveiliging en informatiebeheerders nauw samen van strategisch organisatieniveau tot operationeel, omdat deze onderwerpen raken aan beide domeinen. 
Voor een verantwoorde inzet van algoritmes zullen deze expertise moeten gaan samengewerkt met andere expertise, zoals die van data science en ethiek.
Het is van belang dat deze expertises tijdig en voldoende ruimte krijgen om samen te werken, zodat de functionele en niet functionele requirements kunnen worden gedefinieerd voor een verantwoorde inzet van algoritmes.  
Stel vast waar deze expertises elkaar nodig hebben en waar deze zelfstandige taken en verantwoordelijkheden hebben. 
Voorgaande geeft inzichten om te bepalen in hoeverre algoritmegovernance, naast de bestaande governancestructuren, moet worden ingericht.

De volgende vragen kunnen bedragen om bovenstaande inzichtelijk te krijgen:

- Welke lessen zijn geleerd met de implementatie van de AVG of de toepassing van de BIO?
- Is er iemand intern verantwoordelijk gemaakt voor (toezicht op) algoritmes?
- Hoe werken experts vanuit verschillende onderwerpen zoals privacy, informatiebeheer, informatiebeveiliging en data op dit moment samen als het gaat om de inzet van algoritmes?


### Governance van andere sectoren
Andere sectoren hebben in veel gevallen al governancestructuren met vergelijkbare elementen. Denk aan governancestructuren uit de verzekeringssector of de bankensector. 

### Aansluiting met andere overheidsorganisaties
Probeer aansluiting te zoeken met vergelijkbare overheidsorganisaties. 
","Als er bij de bestaande governancestructuren geen rekening wordt gehouden met het invoeren van algoritmegovernance is er een risico dat verantwoord gebruik van algoritmes niet genoeg wordt overwogen binnen de organisatie.
",[],"Geen beschikbare bron voor deze maatregel.
",https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-05-bestaande-governance/index.html
urn:nl:ak:mtr:org-06,Gebruik een algoritme volwassenheidsmodel om te weten waar de organisatie staat,"
Breng de volwassenheid van je organisatie op het gebied van algoritmes in kaart.
",['governance'],['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","-   Om tot een passende algoritmegovernance voor een organisatie te komen, moet eerst worden vastgesteld wat op dit moment al is ingericht binnen een organisatie op het gebied van algoritmes.
-   Hiervoor kan een volwassenheidsmodel worden toegepast.
-   Op basis hiervan kunnen vervolgstappen worden gedefinieerd, zodat je een handelingsperspectief hebt om je organisatie te organiseren. Ook kunnen deze uitkomsten helpen bewustzijn over de uitdagingen te vergroten.
-   Het is denkbaar dat het realiseren van algoritmegovernance vraagt om een organisatieverandering. De noodzaak voor implementatie van de AI-Verordening kan hier een katalysator voor zijn. Pas daarom verandermanagementtechnieken toe.
-   Deel deze informatie met het bestuur en zorg dat hier bewustzijn ontstaat. Bepaal vervolgens hoe algoritmegovernance moet worden ingericht.
-   Het is aan te raden om verantwoordelijkheden te beleggen voor het realiseren van algoritmegovernance.

","Als je niet een goed beeld hebt van waar de organisatie staat, is het moeilijk te peilen welke richting gekozen moet worden en kan dit leiden tot het doen van dubbel werk.
",[],"Geen beschikbare bron voor deze maatregel.
",https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-06-volwassenheidsmodel/index.html
urn:nl:ak:mtr:org-07,Richt een algoritmegovernance in met three lines of defence,"
Richt een algoritmegovernance in met three lines of defence.
",['governance'],['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","Een inrichting van algoritmegovernance die vaak wordt toegepast is het three lines of defence model:

- De eerste linie gaat over eigenaarschap, ontwikkeling, gebruik en risicobeheersing van algoritmes.
- De tweede linie identificeert, beoordeelt en rapporteert over risico’s en het uitgevoerde gebruik algoritmes.
- De derde verdedigingslinie controleert de werking van de governance en betreft interne advisering en toetsing. 

Schuett (2022) presenteert het three lines of defence model als volgt:

![Three Lines of Defence Model](https://github.com/user-attachments/assets/4974f07d-9810-44e0-a0bb-56f1b1061732)

Het toepassen van een 'three lines of defence' is slechts één aspect van het toepassen van algoritmegoverance. 
","Een risico van het vermijden van het three lines of defence model is dat er stappen worden overgeslagen bij het ontwikkelen van een algoritmegovernance. 
",[],"Geen beschikbare bron voor deze maatregel.
",https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-07-intern-toezicht/index.html
urn:nl:ak:mtr:org-08,Richt vaste beslismomenten en controlepunten in in de algoritmelevenscyclus,"
Richt vaste beslismomenten en controlepunten in in de algoritmelevenscyclus.
",['governance'],['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","- Algoritmegovernance kan op de levenscyclus aansluiten door 'gates' of controlepunten in te voeren. Deze gates bevatten belangrijke mijlpalen om te beoordelen of de juiste taken zijn uitgevoerd, of ethische afwegingen zijn gemaakt, of documentatie heeft plaatsgevonden en of akkoord is ingewonnen (go/no-go moment) bij de verantwoordelijke(n) om naar de volgende fase te mogen. 
- Het is belangrijk om te weten dat toepassing van deze ‘gates’ niet altijd hetzelfde is. Dit kan namelijk verschillen afhankelijk van het type algoritme. 
- Een hoog-risico-AI systeem moet aan meer vereisten voldoen dan een niet impactvol algoritme. Een hoog-risico AI-systeem moet daarom binnen de gates worden getoetst op meer onderdelen dan een niet impactvol algoritme.
","Als er geen controlepunten aanwezig zijn in de levenscyclus van een algoritmegovernance kan het moeilijk zijn om te traceren waar sommige problemen ontstaan en kunnen simpele wijzigingen in het proces over het hoofd worden gezien.
",[],"- [Hulpmiddel handelingsruimte waardevolle AI in de zorg](https://nlaic.com/wp-content/uploads/2022/06/04a)
- [Hulpmiddel-Handelingsruimte-Waardevolle-AI-voor-gezondheid-en-zorg.pdf](https://nlaic.com/wp-content/uploads/2022/08/NLAIC_AI-Lifecycle-management-in-de-zorg-samenvatting_V1.2.pdf)
- UWV Beleidsdocument model risico management, Modellevenscyclus (blz 21), 29 september 2021
- [Toetsingskader Algemene Rekenkamer, 1.07](https://www.rekenkamer.nl/onderwerpen/algoritmes/documenten/publicaties/2024/05/15/het-toetsingskader-aan-de-slag)
",https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-08-beslismoment-levenscyclus/index.html
urn:nl:ak:mtr:org-09,Richt algoritmegovernance in op basis van de risicoclassificatie van algoritmes,"Richt algoritmegovernance in op basis van de risicoclassificatie van algoritmes.
",['governance'],['organisatieverantwoordelijkheden'],"['projectleider', 'beleid-en-advies']","- Er is een verschil in de vereisten die van toepassing zijn op type algoritmes. Dit is mede afhankelijk van de risioclassificatie en de impact van het algoritme op betrokkenen.
- Zo zullen op basis van de AI-verordening meer vereisten moeten worden nageleefd bij hoog-risico AI-systemen, dan voor een AI-systeem met een beperkt risico. 
- Dit betekent dat algoritmegovernance uitgebreider moet zijn voor de risicovollere, complexere toepassingen dan voor de eenvoudige, niet-risicovolle toepassingen.
- [Stel daarom tijdig vast om welk type algoritme het gaat](2-owp-05-soort-algoritme.md) en welke vereisten hiervoor gelden. Dat draagt eraan bij dan alleen wordt gefocust op het realiseren van de vereisten waar daadwerkelijk aan moet worden voldaan. Dit zorgt ervoor dat projecten sneller kunnen worden gerealiseerd.
- Let op dat niet enkel naar de AI-verordening wordt gekeken. Ook op impactvolle algoritmes die niet vallen onder het bereik van de AI-verordening zijn vereisten van toepassing, en moet algoritmegovernance op worden toegepast.
- Is algoritmegovernance nieuw bij jouw organisatie, dan kan het helpen om een use-case met beperkt risico grondig te doorlopen om hiervan te leren.
","Een risico dat kan voortkomen uit het niet hanteren van de verschillende risicoclassificaties is dat er aan meer vereisten wordt voldaan dan nodig is bij sommige types algoritmes, wat kan leiden tot onnodig werk.
",[],"Geen beschikbare bron voor deze maatregel.
",https://minbzk.github.io/Algoritmekader/voldoen-aan-wetten-en-regels/maatregelen/0-org-09-governance-per-risicocategorie/index.html
